element,in_current_benchmark,pyscf_native_support,bse_verified_base,bse_verified_diffuse,gaussian_internal_support,status,notes
H,True,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
B,False,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
C,True,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
N,True,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
O,True,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
F,True,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
Si,False,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
P,False,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
S,False,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
Cl,True,True,True,True,True,covered,PySCF's bundled 6-311+g(d,p) string builds directly; no patch needed.
As,False,False,True,False,True,fixable,"PySCF's native 6-311+g(d,p) string raises BasisNotFoundError for As -- BSE's own diffuse-only ""6-311+G"" basis stops at Z=20/Ca, no published diffuse extension exists for As anywhere. Gaussian 16's internal library DOES have it (gfinput/gfprint single-atom job on Citadel, 2026-08-04, terminated normally; cross-validated byte-identical across two independent runs). Base S/P/D shells match BSE's independently-verified 6-311G(d,p) As entry exactly; only the diffuse SP shell (exponent 0.026) is Gaussian-sourced. Vendored to packages/beckmann-pyscf/backend/beckmann_pyscf/engine/basis_data/as_gaussian_6-311+Gdp.dat and wired into build_mol()."
Br,True,False,True,False,True,fixable,"PySCF's native 6-311+g(d,p) string raises BasisNotFoundError for Br -- same BSE diffuse-catalog gap as As (nothing published past Z=20/Ca). Gaussian 16's internal library has it. Already vendored (basis_data/br_gaussian_6-311+Gdp.dat, extracted 2026-08-02) and wired into build_mol() prior to this audit."
I,False,False,True,False,False,no_ground_truth,"PySCF's native 6-311+g(d,p) string raises BasisNotFoundError for I -- same BSE diffuse-catalog gap as As/Br (nothing published past Z=20/Ca). Gaussian 16's internal library does NOT have it either: single-atom gfinput/gfprint job on Citadel (2026-08-04) errors immediately at the basis-assignment step with ""Atomic number out of range for 6-311G basis"" (Link 301, before any SCF work starts). No verified 6-311+G(d,p) definition for iodine exists anywhere checked -- not BSE, not Gaussian's own library. A SMILES containing I will fail to build in build_mol() with a clear PySCF BasisNotFoundError; this is a real, uncovered gap in the deployed web app, not silently papered over. Flagged explicitly to the PI."
